COG3976	0000000000000000000000000000001
COG3128	0000000000000000000000000000010
COG3754	0000000000000000000000000000010
COG0334	0000000000000000000000000000011
COG0017	0000000000000000000000000000100
COG1387	0000000000000000000000000000100
COG1443	0000000000000000000000000000100
COG1636	0000000000000000000000000000100
COG2311	0000000000000000000000000000100
COG2407	0000000000000000000000000000100
COG3002	0000000000000000000000000000100
COG3192	0000000000000000000000000000100
COG3212	0000000000000000000000000000100
COG3258	0000000000000000000000000000100
COG3380	0000000000000000000000000000100
COG3394	0000000000000000000000000000100
COG4688	0000000000000000000000000000100
COG4716	0000000000000000000000000000100
COG5419	0000000000000000000000000000100
COG0258	0000000000000000000000000001000
COG1056	0000000000000000000000000001000
COG1310	0000000000000000000000000001000
COG4672	0000000000000000000000000001000
COG4718	0000000000000000000000000001000
COG4723	0000000000000000000000000001000
COG4733	0000000000000000000000000001000
COG0716	0000000000000000000000000010000
COG1213	0000000000000000000000000010000
COG1648	0000000000000000000000000010000
COG2015	0000000000000000000000000010000
COG3304	0000000000000000000000000010000
COG4270	0000000000000000000000000010000
COG4390	0000000000000000000000000010000
COG5281	0000000000000000000000000010000
COG5545	0000000000000000000000000010000
COG4973	0000000000000000000000000010100
COG0631	0000000000000000000000000100000
COG0727	0000000000000000000000000100000
COG1887	0000000000000000000000000100000
COG4913	0000000000000000000000000100000
COG5526	0000000000000000000000000100000
COG5563	0000000000000000000000000100000
COG0615	0000000000000000000000000100100
COG3267	0000000000000000000000000100100
COG0369	0000000000000000000000000110000
COG1049	0000000000000000000000000110000
COG3560	0000000000000000000000000110000
COG4413	0000000000000000000000000110000
COG1462	0000000000000000000000000110100
COG3040	0000000000000000000000000110100
COG3752	0000000000000000000000000110100
COG4938	0000000000000000000000001000000
COG1205	0000000000000000000000010000000
COG0310	0000000000000000000000100000000
COG1100	0000000000000000000000100000000
COG1105	0000000000000000000000100000000
COG1930	0000000000000000000000100000000
COG2138	0000000000000000000000100000000
COG2173	0000000000000000000000100000000
COG2453	0000000000000000000000100000000
COG2770	0000000000000000000000100000000
COG2842	0000000000000000000000100000000
COG3224	0000000000000000000000100000000
COG3590	0000000000000000000000100000000
COG3671	0000000000000000000000100000000
COG4228	0000000000000000000000100000000
COG4338	0000000000000000000000100000000
COG4373	0000000000000000000000100000000
COG4382	0000000000000000000000100000000
COG4383	0000000000000000000000100000000
COG4388	0000000000000000000000100000000
COG4397	0000000000000000000000100000000
COG4571	0000000000000000000000100000000
COG4635	0000000000000000000000100000000
COG5280	0000000000000000000000100000000
COG5459	0000000000000000000000100000000
COG5613	0000000000000000000000100000000
COG3046	0000000000000000000000100000100
COG4928	0000000000000000000000100000100
COG3621	0000000000000000000000100010000
COG4771	0000000000000000000000100100000
